rep,t,S,I,R
98,55.6,1014,34,8952
98,55.800000000000004,1014,34,8952
98,56.0,1014,34,8952
98,56.2,1014,33,8953
98,56.400000000000006,1013,34,8953
98,56.6,1013,33,8954
98,56.800000000000004,1012,33,8955
98,57.0,1012,32,8956
98,57.2,1012,30,8958
98,57.400000000000006,1011,30,8959
98,57.6,1011,26,8963
98,57.800000000000004,1011,26,8963
98,58.0,1010,25,8965
98,58.2,1010,23,8967
98,58.400000000000006,1010,23,8967
98,58.6,1010,19,8971
98,58.800000000000004,1010,17,8973
98,59.0,1009,18,8973
98,59.2,1009,18,8973
98,59.400000000000006,1009,18,8973
98,59.6,1008,18,8974
98,59.800000000000004,1008,15,8977
98,60.0,1008,14,8978
98,60.2,1008,13,8979
98,60.400000000000006,1007,14,8979
98,60.6,1007,14,8979
98,60.800000000000004,1007,13,8980
98,61.0,1007,13,8980
98,61.2,1007,13,8980
98,61.400000000000006,1007,13,8980
98,61.6,1007,13,8980
98,61.800000000000004,1007,12,8981
98,62.0,1007,12,8981
98,62.2,1006,13,8981
98,62.400000000000006,1006,13,8981
98,62.6,1006,13,8981
98,62.800000000000004,1006,11,8983
98,63.0,1005,12,8983
98,63.2,1005,12,8983
98,63.400000000000006,1005,12,8983
98,63.6,1005,12,8983
98,63.800000000000004,1004,12,8984
98,64.0,1004,12,8984
98,64.2,1004,12,8984
98,64.4,1004,12,8984
98,64.60000000000001,1004,11,8985
98,64.8,1004,10,8986
98,65.0,1004,10,8986
98,65.2,1004,10,8986
98,65.4,1004,10,8986
98,65.60000000000001,1004,9,8987
98,65.8,1004,8,8988
98,66.0,1004,8,8988
98,66.2,1004,8,8988
98,66.4,1004,8,8988
98,66.60000000000001,1004,8,8988
98,66.8,1004,7,8989
98,67.0,1004,7,8989
98,67.2,1004,7,8989
98,67.4,1004,7,8989
98,67.60000000000001,1004,7,8989
98,67.8,1003,8,8989
98,68.0,1003,8,8989
98,68.2,1003,8,8989
98,68.4,1003,7,8990
98,68.60000000000001,1003,7,8990
98,68.8,1003,7,8990
98,69.0,1003,7,8990
98,69.2,1002,8,8990
98,69.4,1002,7,8991
98,69.60000000000001,1002,7,8991
98,69.8,1002,6,8992
98,70.0,1002,6,8992
98,70.2,1002,6,8992
98,70.4,1002,6,8992
98,70.60000000000001,1002,5,8993
98,70.8,1002,5,8993
98,71.0,1002,5,8993
98,71.2,1001,6,8993
98,71.4,1001,6,8993
98,71.60000000000001,1001,5,8994
98,71.8,1001,5,8994
98,72.0,1001,5,8994
98,72.2,1001,5,8994
98,72.4,1001,5,8994
98,72.60000000000001,1001,5,8994
98,72.8,1001,5,8994
98,73.0,1001,5,8994
98,73.2,1001,5,8994
98,73.4,1001,5,8994
98,73.60000000000001,1001,5,8994
98,73.8,1001,5,8994
98,74.0,1001,5,8994
98,74.2,1001,5,8994
98,74.4,1001,5,8994
98,74.60000000000001,1001,5,8994
98,74.8,1001,5,8994
98,75.0,1001,5,8994
98,75.2,1000,6,8994
98,75.4,1000,6,8994
98,75.60000000000001,1000,6,8994
98,75.8,999,7,8994
98,76.0,999,7,8994
98,76.2,999,7,8994
98,76.4,999,7,8994
98,76.60000000000001,999,6,8995
98,76.80000000000001,999,6,8995
98,77.0,999,6,8995
98,77.2,999,6,8995
98,77.4,998,6,8996
98,77.60000000000001,998,6,8996
98,77.80000000000001,998,6,8996
98,78.0,998,5,8997
98,78.2,998,5,8997
98,78.4,998,5,8997
98,78.60000000000001,998,5,8997
98,78.80000000000001,998,5,8997
98,79.0,998,5,8997
98,79.2,998,5,8997
98,79.4,998,5,8997
98,79.60000000000001,998,5,8997
98,79.80000000000001,998,5,8997
98,80.0,998,5,8997
98,80.2,998,5,8997
98,80.4,998,5,8997
98,80.60000000000001,998,5,8997
98,80.80000000000001,998,5,8997
98,81.0,998,5,8997
98,81.2,998,5,8997
98,81.4,998,5,8997
98,81.60000000000001,998,5,8997
98,81.80000000000001,998,5,8997
98,82.0,998,4,8998
98,82.2,998,4,8998
98,82.4,998,3,8999
98,82.60000000000001,998,3,8999
98,82.80000000000001,998,3,8999
98,83.0,998,3,8999
98,83.2,998,3,8999
98,83.4,998,3,8999
98,83.60000000000001,998,3,8999
98,83.80000000000001,998,3,8999
98,84.0,998,3,8999
98,84.2,998,3,8999
98,84.4,998,3,8999
98,84.60000000000001,998,3,8999
98,84.80000000000001,998,3,8999
98,85.0,998,3,8999
98,85.2,998,3,8999
98,85.4,998,3,8999
98,85.60000000000001,998,3,8999
98,85.80000000000001,998,2,9000
98,86.0,998,2,9000
98,86.2,998,2,9000
98,86.4,998,2,9000
98,86.60000000000001,998,2,9000
98,86.80000000000001,998,2,9000
98,87.0,998,2,9000
98,87.2,998,2,9000
98,87.4,998,2,9000
98,87.60000000000001,998,2,9000
98,87.80000000000001,998,2,9000
98,88.0,998,2,9000
98,88.2,998,2,9000
98,88.4,998,2,9000
98,88.60000000000001,998,2,9000
98,88.80000000000001,998,2,9000
98,89.0,998,2,9000
98,89.2,998,2,9000
98,89.4,998,2,9000
98,89.60000000000001,998,1,9001
98,89.80000000000001,998,1,9001
98,90.0,998,0,9002
98,90.2,998,0,9002
98,90.4,998,0,9002
98,90.60000000000001,998,0,9002
98,90.80000000000001,998,0,9002
98,91.0,998,0,9002
98,91.2,998,0,9002
98,91.4,998,0,9002
98,91.60000000000001,998,0,9002
98,91.80000000000001,998,0,9002
98,92.0,998,0,9002
98,92.2,998,0,9002
98,92.4,998,0,9002
98,92.60000000000001,998,0,9002
98,92.80000000000001,998,0,9002
98,93.0,998,0,9002
98,93.2,998,0,9002
98,93.4,998,0,9002
98,93.60000000000001,998,0,9002
98,93.80000000000001,998,0,9002
98,94.0,998,0,9002
98,94.2,998,0,9002
98,94.4,998,0,9002
98,94.60000000000001,998,0,9002
98,94.80000000000001,998,0,9002
98,95.0,998,0,9002
98,95.2,998,0,9002
98,95.4,998,0,9002
98,95.60000000000001,998,0,9002
98,95.80000000000001,998,0,9002
98,96.0,998,0,9002
98,96.2,998,0,9002
98,96.4,998,0,9002
98,96.60000000000001,998,0,9002
98,96.80000000000001,998,0,9002
98,97.0,998,0,9002
98,97.2,998,0,9002
98,97.4,998,0,9002
98,97.60000000000001,998,0,9002
98,97.80000000000001,998,0,9002
98,98.0,998,0,9002
98,98.2,998,0,9002
98,98.4,998,0,9002
98,98.60000000000001,998,0,9002
98,98.80000000000001,998,0,9002
98,99.0,998,0,9002
98,99.2,998,0,9002
98,99.4,998,0,9002
98,99.60000000000001,998,0,9002
98,99.80000000000001,998,0,9002
98,100.0,998,0,9002
98,100.2,998,0,9002
98,100.4,998,0,9002
98,100.60000000000001,998,0,9002
98,100.80000000000001,998,0,9002
98,101.0,998,0,9002
98,101.2,998,0,9002
98,101.4,998,0,9002
98,101.60000000000001,998,0,9002
98,101.80000000000001,998,0,9002
98,102.0,998,0,9002
98,102.2,998,0,9002
98,102.4,998,0,9002
98,102.60000000000001,998,0,9002
98,102.80000000000001,998,0,9002
98,103.0,998,0,9002
98,103.2,998,0,9002
98,103.4,998,0,9002
98,103.60000000000001,998,0,9002
98,103.80000000000001,998,0,9002
98,104.0,998,0,9002
98,104.2,998,0,9002
98,104.4,998,0,9002
98,104.60000000000001,998,0,9002
98,104.80000000000001,998,0,9002
98,105.0,998,0,9002
98,105.2,998,0,9002
98,105.4,998,0,9002
98,105.60000000000001,998,0,9002
98,105.80000000000001,998,0,9002
98,106.0,998,0,9002
98,106.2,998,0,9002
98,106.4,998,0,9002
98,106.60000000000001,998,0,9002
98,106.80000000000001,998,0,9002
98,107.0,998,0,9002
98,107.2,998,0,9002
98,107.4,998,0,9002
98,107.60000000000001,998,0,9002
98,107.80000000000001,998,0,9002
98,108.0,998,0,9002
98,108.2,998,0,9002
98,108.4,998,0,9002
98,108.60000000000001,998,0,9002
98,108.80000000000001,998,0,9002
98,109.0,998,0,9002
98,109.2,998,0,9002
98,109.4,998,0,9002
98,109.60000000000001,998,0,9002
98,109.80000000000001,998,0,9002
